Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Advances in gerontology = Uspekhi gerontologii,Adv Gerontol,1561-9125,,Russia (Federation),Geriatrics,1900,100971443
Age and ageing.,Age Ageing,0002-0729,1468-2834,England,Geriatrics,1972,0375655
Ageing research reviews.,Ageing Res Rev,1568-1637,1872-9649,England,Geriatrics,2002,101128963
Aging & mental health.,Aging Ment Health,1360-7863,1364-6915,England,Geriatrics; Psychology,1997,9705773
Aging and disease.,Aging Dis,,2152-5250,United States,Geriatrics,2010,101540533
Aging cell.,Aging Cell,1474-9718,1474-9726,England,Cell Biology,2002,101130839
Aging clinical and experimental research.,Aging Clin Exp Res,1594-0667,1720-8319,Germany,Geriatrics,2002,101132995
Aging.,Aging (Albany NY),,1945-4589,United States,Geriatrics,2008,101508617
Alzheimer disease and associated disorders.,Alzheimer Dis Assoc Disord,0893-0341,1546-4156,United States,Neurology; Psychiatry,1987,8704771
Alzheimer's & dementia : the journal of the Alzheimer's Association.,Alzheimers Dement,1552-5260,1552-5279,United States,Neurology; Psychiatry,2005,101231978
Alzheimer's research & therapy.,Alzheimers Res Ther,,1758-9193,England,Neurology,2009,101511643
American journal of Alzheimer's disease and other dementias.,Am J Alzheimers Dis Other Demen,1533-3175,1938-2731,United States,Neurology,2000,101082834
Annals of geriatric medicine and research.,Ann Geriatr Med Res,2508-4798,2508-4909,Korea (South),Geriatrics,2016,101701105
Annals of palliative medicine.,Ann Palliat Med,2224-5820,2224-5839,China,Palliative Care; Therapeutics,2012,101585484
Archives of gerontology and geriatrics.,Arch Gerontol Geriatr,0167-4943,1872-6976,Netherlands,Geriatrics,1982,8214379
Australasian journal on ageing.,Australas J Ageing,1440-6381,1741-6612,Australia,Geriatrics,1998,9808874
Biogerontology.,Biogerontology,1389-5729,1573-6768,Netherlands,Geriatrics,2000,100930043
BMC geriatrics.,BMC Geriatr,,1471-2318,England,Geriatrics,2001,100968548
BMC palliative care.,BMC Palliat Care,,1472-684X,England,Palliative Care,2002,101088685
BMJ supportive & palliative care.,BMJ Support Palliat Care,2045-435X,2045-4368,England,Palliative Care; Psychophysiology; Therapeutics,2011,101565123
Canadian journal on aging = La revue canadienne du vieillissement.,Can J Aging,0714-9808,1710-1107,Canada,Geriatrics,1982,8708560
Clinical gerontologist.,Clin Gerontol,0731-7115,1545-2301,United States,Geriatrics,1982,8300869
Clinical interventions in aging.,Clin Interv Aging,1176-9092,1178-1998,New Zealand,Geriatrics,2006,101273480
Clinics in geriatric medicine.,Clin Geriatr Med,0749-0690,1879-8853,United States,Geriatrics,1985,8603766
Current aging science.,Curr Aging Sci,1874-6098,1874-6128,United Arab Emirates,Geriatrics,2008,101473576
Current Alzheimer research.,Curr Alzheimer Res,1567-2050,1875-5828,United Arab Emirates,Neurology,2004,101208441
Current opinion in supportive and palliative care.,Curr Opin Support Palliat Care,1751-4258,1751-4266,United States,Palliative Care; Therapeutics,2007,101297402
Dementia and geriatric cognitive disorders.,Dement Geriatr Cogn Disord,1420-8008,1421-9824,Switzerland,Geriatrics; Neurology; Psychiatry,1997,9705200
