Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
BMC palliative care.,BMC Palliat Care,,1472-684X,England,Palliative Care,2002,101088685
Journal of palliative medicine.,J Palliat Med,1096-6218,1557-7740,United States,Palliative Care,1998,9808462
Palliative medicine.,Palliat Med,0269-2163,1477-030X,England,Palliative Care,1987,8704926
Journal of palliative care.,J Palliat Care,0825-8597,2369-5293,United States,Palliative Care,1985,8610345
Palliative & supportive care.,Palliat Support Care,1478-9515,1478-9523,England,Palliative Care; Psychology,2003,101232529
BMJ supportive & palliative care.,BMJ Support Palliat Care,2045-435X,2045-4368,England,Palliative Care; Psychophysiology; Therapeutics,2011,101565123
Journal of pain and symptom management.,J Pain Symptom Manage,0885-3924,1873-6513,United States,Palliative Care; Psychophysiology; Therapeutics,1986,8605836
Journal of social work in end-of-life & palliative care.,J Soc Work End Life Palliat Care,1552-4256,1552-4264,United States,Palliative Care; Social Sciences,2005,101235219
Annals of palliative medicine.,Ann Palliat Med,2224-5820,2224-5839,China,Palliative Care; Therapeutics,2012,101585484
Current opinion in supportive and palliative care.,Curr Opin Support Palliat Care,1751-4258,1751-4266,United States,Palliative Care; Therapeutics,2007,101297402
