Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
ARP rheumatology.,ARP Rheumatol,,2795-4552,Portugal,Rheumatology,2022,9918402287906676
Advances in rheumatology.,Adv Rheumatol,,2523-3106,England,Rheumatology,2018,101734172
Modern rheumatology case reports.,Mod Rheumatol Case Rep,,2472-5625,England,Rheumatology,2017,101761026
The Lancet. Rheumatology.,Lancet Rheumatol,,2665-9913,England,Rheumatology,2019,101765308
Arthritis & rheumatology.,Arthritis Rheumatol,2326-5191,2326-5205,United States,Rheumatology,2014,101623795
Nature reviews. Rheumatology.,Nat Rev Rheumatol,1759-4790,1759-4804,United States,Rheumatology,2009,101500080
Arthritis care & research.,Arthritis Care Res (Hoboken),2151-464X,2151-4658,United States,Rheumatology,2010,101518086
International journal of rheumatic diseases.,Int J Rheum Dis,1756-1841,1756-185X,England,Rheumatology,2008,101474930
Reumatología clinica.,Reumatol Clin (Engl Ed),,2173-5743,Spain,Rheumatology,2007,101717526
Current rheumatology reviews.,Curr Rheumatol Rev,1573-3971,1875-6360,United Arab Emirates,Rheumatology,2005,101261938
Arthritis research & therapy.,Arthritis Res Ther,1478-6354,1478-6362,England,Rheumatology,2003,101154438
Best practice & research. Clinical rheumatology.,Best Pract Res Clin Rheumatol,1521-6942,1532-1770,Netherlands,Rheumatology,2001,101121149
Rheumatology.,Rheumatology (Oxford),1462-0324,1462-0332,England,Rheumatology,1999,100883501
Current rheumatology reports.,Curr Rheumatol Rep,1523-3774,1534-6307,United States,Rheumatology,1999,100888970
Joint bone spine.,Joint Bone Spine,1297-319X,1778-7254,France,Rheumatology,2000,100938016
Modern rheumatology,Mod Rheumatol,1439-7595,1439-7609,England,Rheumatology,2000,100959226
Lupus.,Lupus,0961-2033,1477-0962,England,Rheumatology,1991,9204265
Current opinion in rheumatology.,Curr Opin Rheumatol,1040-8711,1531-6963,United States,Rheumatology,1989,9000851
Rheumatic diseases clinics of North America.,Rheum Dis Clin North Am,0889-857X,1558-3163,United States,Rheumatology,1987,8708093
Rheumatology international.,Rheumatol Int,0172-8172,1437-160X,Germany,Rheumatology,1981,8206885
Clinical rheumatology.,Clin Rheumatol,0770-3198,1434-9949,Germany,Rheumatology,1982,8211469
Clinical and experimental rheumatology.,Clin Exp Rheumatol,0392-856X,1593-098X,Italy,Rheumatology,1983,8308521
The Journal of rheumatology.,J Rheumatol,0315-162X,1499-2752,Canada,Rheumatology,1974,7501984
Scandinavian journal of rheumatology.,Scand J Rheumatol,0300-9742,1502-7732,England,Rheumatology,1972,0321213
Connective tissue research.,Connect Tissue Res,0300-8207,1607-8438,England,Rheumatology,1972,0365263
Zeitschrift für Rheumatologie.,Z Rheumatol,0340-1855,1435-1250,Germany,Rheumatology,1974,0414162
Seminars in arthritis and rheumatism.,Semin Arthritis Rheum,0049-0172,1532-866X,United States,Rheumatology,1971,1306053
Annals of the rheumatic diseases.,Ann Rheum Dis,0003-4967,1468-2060,United States,Rheumatology,1939,0372355
